N,M,scaled_t_obs,B,process,mean_p,mean_q,mean_gamma,mean_alpha,mean_beta,mean_iter,se_p,se_q,se_gamma,se_alpha,se_beta,se_iter,total
20,50,4.17,50000,ER,0.67486935999999997,0.28905380000000003,1.7389225000000004,0.11219446200000001,0.037259609999999999,3.2000000000000002,0.028659273858655257,0.057253278368098702,0.11094739331795947,0.018928370121311978,0.010625611331351719,0.39999999999999997,20
20,50,4.17,150000,ER,0.63545171749999974,0.35096585999999996,1.6241326250000001,0.081092672749999997,0.027983485500000006,3.0750000000000002,0.06259460730230236,0.098688435743537875,0.13696589837249409,0.023925582711167039,0.0076839915991992573,0.41155194082885821,40
20,50,4.17,250000,ER,0.68123475499999997,0.27833316499999994,1.7678692999999999,0.091815816999999994,0.030125843000000003,3.2999999999999998,0.033409312016883463,0.057612772448870003,0.10747521252879665,0.014805477626332797,0.0071587761695530742,0.55677643628300211,20
20,50,4.17,500000,ER,0.69812447499999997,0.28581009499999999,1.77930615,0.083181521500000022,0.028997960500000003,3.2999999999999998,0.041012280208138567,0.056700905683185296,0.10013743713380874,0.013162808531544577,0.0096310016141990529,0.45825756949558405,20
20,50,4.17,1000000,ER,0.69828578500000005,0.29082565000000005,1.7936448000000003,0.078676600000000013,0.025820200500000001,3.3500000000000001,0.041613657771569119,0.053788520386700532,0.14018456662150797,0.014703440074866495,0.0069321144935701072,0.47696960070847289,20
